age,total,male,female,prop
total,125502000,61019000,64483000,1
0,830000,425000,405000,0.006613440423260187
1,836000,427000,408000,0.006661248426319899
2,871000,446000,425000,0.006940128444168221
3,915000,468000,446000,0.00729072046660611
4,938000,480000,458000,0.0074739844783350065
5,978000,502000,477000,0.007792704498733088
6,1003000,514000,489000,0.00799190451148189
7,1001000,514000,488000,0.007975968510461985
8,1026000,525000,501000,0.008175168523210785
9,1029000,527000,503000,0.008199072524740642
10,1054000,540000,514000,0.008398272537489442
11,1063000,545000,518000,0.00846998454207901
12,1069000,548000,521000,0.008517792545138722
13,1089000,558000,531000,0.008677152555337764
14,1083000,555000,527000,0.008629344552278052
15,1075000,550000,524000,0.008565600548198436
16,1076000,553000,524000,0.008573568548708388
17,1119000,575000,545000,0.008916192570636325
18,1131000,582000,549000,0.009011808576755749
19,1178000,604000,574000,0.009386304600723495
20,1221000,624000,597000,0.009728928622651432
21,1245000,638000,607000,0.00992016063489028
22,1247000,637000,610000,0.009936096635910184
23,1274000,652000,622000,0.01015123264967889
24,1277000,654000,623000,0.010175136651208746
25,1278000,656000,622000,0.010183104651718698
26,1293000,664000,629000,0.010302624659367978
27,1286000,661000,625000,0.010246848655798314
28,1256000,646000,610000,0.010007808640499752
29,1266000,650000,616000,0.010087488645599274
30,1257000,644000,613000,0.010015776641009704
31,1281000,655000,626000,0.010207008653248554
32,1302000,665000,637000,0.010374336663957547
33,1341000,685000,655000,0.010685088683845675
34,1375000,702000,674000,0.010956000701184045
35,1393000,711000,682000,0.011099424710363182
36,1444000,734000,710000,0.011505792736370734
37,1492000,758000,735000,0.011888256760848433
38,1511000,766000,745000,0.012039648770537521
39,1513000,766000,746000,0.012055584771557425
40,1524000,773000,751000,0.012143232777166897
41,1592000,807000,785000,0.012685056811843636
42,1630000,827000,803000,0.012987840831221812
43,1691000,857000,834000,0.013473888862328887
44,1735000,880000,855000,0.013824480884766777
45,1816000,921000,895000,0.01446988892607289
46,1891000,958000,933000,0.015067488964319293
47,1997000,1012000,985000,0.01591209701837421
48,2032000,1027000,1006000,0.01619097703622253
49,1995000,1009000,986000,0.015896161017354304
50,1936000,978000,959000,0.015426048987267136
51,1876000,946000,930000,0.014947968956670013
52,1846000,929000,917000,0.014708928941371453
53,1800000,905000,895000,0.014342400917913658
54,1794000,901000,893000,0.014294592914853946
55,1400000,700000,700000,0.011155200713932846
56,1723000,862000,861000,0.013728864878647351
57,1613000,806000,807000,0.012852384822552628
58,1571000,784000,787000,0.012517728801134644
59,1518000,757000,762000,0.012095424774107185
60,1486000,739000,747000,0.01184044875778872
61,1492000,739000,753000,0.011888256760848433
62,1516000,750000,766000,0.012079488773087281
63,1471000,724000,746000,0.01172092875013944
64,1426000,701000,725000,0.011362368727191598
65,1494000,732000,762000,0.011904192761868337
66,1535000,751000,784000,0.01223088078277637
67,1529000,744000,785000,0.012183072779716657
68,1615000,781000,834000,0.012868320823572532
69,1696000,816000,880000,0.013513728864878647
70,1784000,854000,930000,0.014214912909754426
71,1900000,902000,998000,0.015139200968908861
72,2065000,975000,1089000,0.01645392105305095
73,2024000,948000,1075000,0.016127233032142915
74,1899000,885000,1014000,0.01513123296839891
75,1167000,535000,632000,0.009298656595114023
76,1233000,555000,678000,0.009824544628770856
77,1484000,660000,823000,0.011824512756768817
78,1409000,621000,788000,0.011226912718522414
79,1420000,619000,801000,0.011314560724131886
80,1346000,580000,766000,0.010724928686395435
81,1188000,503000,686000,0.009465984605823015
82,998000,415000,584000,0.007952064508932129
83,1024000,415000,609000,0.008159232522190881
84,1005000,398000,607000,0.008007840512501793
85,955000,368000,587000,0.007609440487004191
86,855000,316000,538000,0.006812640436008988
87,753000,268000,485000,0.0059999043839938804
88,694000,236000,459000,0.005529792353906711
89,615000,200000,415000,0.0049003203136205
90,532000,163000,369000,0.004238976271294481
91,445000,129000,316000,0.0035457602269286545
92,378000,103000,275000,0.0030119041927618682
93,313000,80000,234000,0.002493984159614986
94,236000,56000,179000,0.0018804481203486796
95,186000,41000,145000,0.001482048094851078
96,137000,28000,109000,0.0010916160698634285
97,97000,18000,79000,7.728960494653472e-4
98,69000,11000,58000,5.497920351866903e-4
99,48000,7000,42000,3.8246402447769754e-4
100,85000,10000,75000,6.772800433459228e-4
